Make,Number.of.Engines,Weather.Condition,Broad.phase.of.flight,total_passengers,injury_rate,is_destroyed,Make_Model
Piper,,,,4.0,1.0,1.0,Piper — PA-24-260
Cessna,,,,2.0,1.0,0.0,Cessna — 208
Beech,,,,8.0,1.0,1.0,Beech — KINGAIR 200
Cessna,1,VMC,Takeoff,1.0,0.0,0.0,Cessna — 208B
Boeing,,,,10.0,0.0,1.0,Boeing — 707-312B
McDonnell Douglas,,VMC,,204.0,0.00980392156862745,,McDonnell Douglas — DC-10-30
Beech,,,,2.0,1.0,0.0,Beech — E-90
Boeing,,,,97.0,0.0,0.0,Boeing — 757-200
Boeing,2,,Descent,2.0,1.0,,Boeing — 767
Cessna,,IMC,,1.0,1.0,1.0,Cessna — 182N
Boeing,2,VMC,Taxi,80.0,0.0125,,Boeing — 767-300ER
Cessna,,IMC,,2.0,1.0,1.0,Cessna — 206
Boeing,,,,0.0,,1.0,Boeing — 727-100
Cessna,1,VMC,Descent,1.0,0.0,0.0,Cessna — 182A
Boeing,,,,144.0,0.0,0.0,Boeing — 727-200
Beech,,VMC,,4.0,1.0,1.0,Beech — 95-55
Beech,,VMC,,2.0,1.0,1.0,Beech — 95-D55
Cessna,2,VMC,,1.0,0.0,0.0,Cessna — T310R
Beech,2,VMC,Takeoff,4.0,1.0,1.0,Beech — F90-42
Piper,,IMC,,5.0,1.0,1.0,Piper — PA-34-200T
Cessna,,VMC,,4.0,1.0,1.0,Cessna — 310R
Aero Commander,,IMC,,7.0,1.0,1.0,Aero Commander — 500
Boeing,2,VMC,Taxi,135.0,0.0,0.0,Boeing — B-737-832
McDonnell Douglas,2,VMC,Taxi,135.0,0.0,0.0,McDonnell Douglas — MD-81
Cessna,,IMC,,6.0,0.0,0.0,Cessna — 340A
Cessna,,VMC,,7.0,1.0,1.0,Cessna — 206
Aero Commander,,,,2.0,1.0,1.0,Aero Commander — 500S
Cessna,,VMC,,1.0,0.0,0.0,Cessna — 525
Cessna,1,VMC,Descent,1.0,0.0,0.0,Cessna — P206
Boeing,,VMC,,2.0,0.0,0.0,Boeing — 767-300
Cessna,1,VMC,Descent,1.0,0.0,0.0,Cessna — 182E
Piper,,VMC,,9.0,0.0,0.0,Piper — PA-31-350
De Havilland,,VMC,,20.0,1.0,1.0,De Havilland — DHC-6-300
Piper,1,VMC,Cruise,2.0,0.0,0.0,Piper — PA-24
Cessna,1,IMC,,1.0,1.0,1.0,Cessna — 210F
De Havilland,1,VMC,Takeoff,22.0,0.22727272727272727,0.0,De Havilland — DHC-3
Beech,,VMC,,9.0,0.0,0.0,Beech — 200
Piper,1,VMC,Takeoff,2.0,1.0,1.0,Piper — PA-46-500TP
Aero Commander,,,,4.0,1.0,,Aero Commander — 500S
Cessna,,,,4.0,1.0,1.0,Cessna — 182
Cessna,2,VMC,,2.0,1.0,0.0,Cessna — T310R
Beech,,VMC,,1.0,1.0,1.0,Beech — 55
Mooney,1,,,3.0,1.0,1.0,Mooney — M20E
Cessna,,,,1.0,0.0,0.0,Cessna — TR182
Cessna,,IMC,,10.0,1.0,1.0,Cessna — 208B
Cessna,,,,12.0,0.08333333333333333,1.0,Cessna — C-208 CARAVAN
Cessna,,IMC,,5.0,1.0,1.0,Cessna — 182J
Piper,,,,1.0,1.0,1.0,Piper — PA-42-1000
Piper,,VMC,,2.0,1.0,0.0,Piper — PA-24-250
Cessna,,VMC,,2.0,1.0,0.0,Cessna — 182S
Cessna,,IMC,,2.0,1.0,1.0,Cessna — 182
Piper,,,,2.0,0.0,0.0,Piper — PA-28
Beech,,VMC,,2.0,1.0,0.0,Beech — BE-36
De Havilland,2,VMC,Maneuvering,23.0,0.043478260869565216,0.0,De Havilland — DHC-6 TWIN OTTER
Piper,1,VMC,Maneuvering,1.0,1.0,0.0,Piper — PA-28-181
Cessna,,VMC,,4.0,1.0,1.0,Cessna — U206G
Cessna,1,VMC,Descent,1.0,0.0,0.0,Cessna — 182
Cessna,,VMC,,13.0,0.5384615384615384,0.0,Cessna — 208B
Taylorcraft,1,VMC,Landing,2.0,0.0,0.0,Taylorcraft — F21B
Cessna,1,VMC,Descent,1.0,0.0,0.0,Cessna — 182B
Cessna,1,VMC,Descent,2.0,1.0,0.0,Cessna — 150
Cessna,1,VMC,Descent,5.0,0.0,0.0,Cessna — 182A
Boeing,,IMC,,90.0,0.011111111111111112,,Boeing — B767-332
Cessna,,IMC,,8.0,1.0,1.0,Cessna — TU206G
Boeing,2,,Cruise,65.0,1.0,1.0,Boeing — 767-200ER
Piper,1,VMC,Takeoff,1.0,1.0,0.0,Piper — PA-32RT-300T
Cessna,1,VMC,Approach,2.0,0.0,0.0,Cessna — 182A
Piper,2,IMC,Approach,4.0,1.0,1.0,Piper — PA-31T1
Cessna,,VMC,,3.0,1.0,1.0,Cessna — 337D
Piper,1,VMC,Approach,1.0,1.0,0.0,Piper — PA-28R-180
Piper,,VMC,,6.0,0.0,1.0,Piper — PA-30
Piper,1,IMC,Approach,2.0,0.0,0.0,Piper — PA-46T
Cessna,,VMC,,1.0,0.0,0.0,Cessna — A188
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 172
